Setting,Timestamp,Data
200,931,400000
200,1861,400000
200,2789,400000
200,3717,400000
200,4646,400000
200,5574,400000
200,6502,400000
200,7430,400000
200,8358,400000
200,9286,400000
200,10214,400000
200,11142,400000
200,12070,400000
200,12999,400000
200,13927,400000
190,851,388688
190,1781,387585
190,2708,383448
190,3637,400000
190,4566,400000
190,5494,400000
190,6422,400000
190,7350,400000
190,8278,400000
190,9206,400000
190,10134,400000
190,11062,400000
190,11990,400000
190,12918,400000
190,13846,400000
180,771,454102
180,1700,452296
180,2628,443194
180,3557,440904
180,4486,437233
180,5414,437793
180,6342,431703
180,7270,425514
180,8198,424455
180,9126,432797
180,10054,420275
180,10982,415922
180,11909,412404
180,12837,409927
180,13766,407481
170,690,506679
170,1620,502576
170,2548,489600
170,3476,484733
170,4406,486460
170,5334,486114
170,6262,480300
170,7190,474293
170,8118,470696
170,9046,481995
170,9974,469401
170,10901,465878
170,11829,458678
170,12757,454706
170,13686,454706
160,610,582314
160,1540,578367
160,2468,568257
160,3396,563566
160,4326,560788
160,5253,562637
160,6181,551724
160,7110,544680
160,8038,544246
160,8966,549061
160,9893,537815
160,10821,534446
160,11749,531120
160,12677,527427
160,13606,520987
150,530,669062
150,1460,662568
150,2388,653061
150,3316,647486
150,4245,645649
150,5173,642610
150,6101,630153
150,7030,627835
150,7958,620418
150,8885,628413
150,9813,615939
150,10741,613724
150,11669,608799
150,12597,604486
150,13526,595521
140,450,736161
140,1380,731428
140,2307,727531
140,3235,716835
140,4165,713837
140,5093,712347
140,6021,696361
140,6950,694237
140,7878,691424
140,8805,690725
140,9733,679721
140,10661,677024
140,11589,672357
140,12517,667101
140,13445,656199
130,370,1227449
130,1300,1215430
130,2227,1193125
130,3155,1181765
130,4085,1181765
130,5013,1176673
130,5941,1152828
130,6869,1144134
130,7796,1133683
130,8725,1147982
130,9653,1122499
130,10581,1112438
130,11509,1102557
130,12436,1093725
130,13365,1092849
120,290,1363515
120,1219,1342070
120,2147,1334202
120,3075,1311139
120,4005,1311139
120,4933,1307373
120,5861,1284012
120,6788,1273235
120,7716,1263807
120,8645,1267326
120,9573,1244228
120,10501,1232992
120,11428,1235223
120,12356,1221957
120,13285,1212193
110,209,1456614
110,1137,1436688
110,2067,1429169
110,2995,1407076
110,3925,1404182
110,4853,1395570
110,5780,1380053
110,6708,1364878
110,7636,1350033
110,8565,1358090
110,9493,1336814
110,10420,1326424
110,11348,1318737
110,12276,1302384
110,13205,1297434
100,128,1532934
100,1057,1518443
100,1987,1505882
100,2915,1600000
100,3844,1600000
100,4772,1600000
100,5700,1596258
100,6628,1579637
100,7556,1494890
100,8485,1478700
100,9413,1464426
100,10340,1456614
100,11268,1444287
100,12196,1438202
100,13125,1423210
