Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
250,27507,11389,378,17648,16843,
250,28792,10354,376,17648,16852,
250,30076,10009,379,17648,16854,
250,31363,9837,378,17648,16855,
250,32650,9740,376,17648,16855,
250,33933,9683,378,17648,16856,
250,35216,9683,371,17649,16856,
250,36502,9640,376,17648,16856,
250,37786,9627,377,17649,16857,
250,39075,9612,377,17647,16855,
250,40357,9621,375,17649,16858,
250,42512,9588,377,17650,16858,
250,43794,9602,377,17649,16858,
250,45079,9595,377,17649,16855,
250,46366,9606,379,17649,16856,
250,47651,9593,377,17649,16859,
250,48934,9585,378,17649,16858,
250,50222,9593,379,17648,16857,
250,51507,9575,375,17650,16857,
250,52794,9576,375,17650,16857,
250,54080,9589,381,17649,16859,
250,55365,9582,375,17649,16855,
240,27456,11755,601,17647,16825,
240,28741,10243,597,17648,16827,
240,30027,9823,595,17648,16846,
240,31312,9587,597,17647,16829,
240,32599,9526,601,17647,16831,
240,33881,9459,588,17648,16837,
240,35166,9400,590,17648,16835,
240,36451,9382,601,17648,16834,
240,37737,9364,591,17648,16839,
240,39024,9376,590,17647,16839,
240,40308,9352,577,17649,16836,
240,42460,9343,604,17649,16846,
240,43743,9364,603,17650,16842,
240,45028,9344,592,17649,16836,
240,46315,9343,600,17649,16839,
240,47599,9356,595,17649,16824,
240,48882,9325,600,17650,16841,
240,50170,9336,600,17648,16845,
240,51456,9374,601,17650,16836,
240,52743,9327,566,17650,16846,
240,54029,9338,593,17649,16842,
240,55314,9310,597,17649,16840,
230,27404,12097,979,17648,16745,
230,28689,9948,966,17647,16722,
230,29975,9391,976,17647,16770,
230,31261,9166,969,17647,16782,
230,32548,9039,945,17648,16803,
230,33830,9005,981,17648,16734,
230,35115,8939,983,17648,16743,
230,36399,8907,979,17648,16736,
230,37685,8919,978,17648,16758,
230,38972,8926,971,17649,16704,
230,40257,8896,976,17648,16755,
230,42408,8828,981,17649,16743,
230,43691,8860,968,17648,16715,
230,44976,8856,967,17650,16734,
230,46263,8868,964,17649,16771,
230,47548,8845,969,17649,16771,
230,48831,8882,983,17649,16792,
230,50119,8855,978,17647,16729,
230,51404,8871,972,17650,16756,
230,52691,8844,977,17650,16775,
230,53977,8841,980,17650,16734,
230,55262,8838,984,17649,16756,
220,27353,12426,1472,17649,16655,
220,28638,9606,1471,17646,16660,
220,29925,8971,1473,17648,16653,
220,31209,8710,1466,17647,16662,
220,32496,8542,1476,17648,16655,
220,33778,8497,1477,17648,16660,
220,35063,8475,1470,17649,16672,
220,36348,8450,1402,17648,16665,
220,37634,8382,1468,17648,16685,
220,38921,8384,1480,17647,16653,
220,40205,8388,1468,17648,16659,
220,42357,8362,1467,17649,16680,
220,43640,8396,1474,17650,16677,
220,44925,8409,1468,17650,16651,
220,46212,8388,1460,17650,16670,
220,47496,8389,1475,17650,16670,
220,48779,8368,1456,17649,16672,
220,50067,8369,1472,17648,16675,
220,51353,8365,1472,17650,16681,
220,52640,8357,1464,17650,16674,
220,53926,8370,1471,17650,16685,
220,55211,8336,1452,17649,16654,
210,27301,12885,2005,17648,16689,
210,28586,9318,2013,17646,16695,
210,29873,8534,1966,17647,16704,
210,31158,8259,2029,17647,16741,
210,32445,8122,1987,17647,16695,
210,33727,8049,2021,17648,16688,
210,35012,8007,2005,17648,16715,
210,36296,7982,2012,17647,16695,
210,37582,7938,1966,17649,16690,
210,38869,7987,2020,17648,16701,
210,40154,7931,2001,17648,16688,
210,42306,7874,2022,17649,16696,
210,43588,7936,2008,17649,16699,
210,44873,7919,2016,17650,16711,
210,46161,7951,2016,17650,16687,
210,47449,7899,1998,17648,16680,
210,48728,7879,2023,17649,16702,
210,50016,7905,2021,17648,16696,
210,51301,7902,2016,17650,16708,
210,52589,7911,2030,17650,16694,
210,53874,7901,2019,17649,16700,
210,55159,7913,1978,17649,16699,
200,27250,13331,2619,17648,16708,
200,28535,8866,2575,17646,16721,
200,29822,8014,2612,17648,16738,
200,31106,7701,2614,17646,16730,
200,32393,7601,2611,17647,16732,
200,33675,7456,2582,17648,16732,
200,34961,7432,2604,17648,16732,
200,36245,7404,2608,17649,16728,
200,37531,7375,2617,17648,16754,
200,38818,7403,2613,17648,16748,
200,40102,7406,2613,17648,16736,
200,42255,7296,2556,17649,16740,
200,43537,7334,2600,17648,16735,
200,44822,7367,2609,17650,16739,
200,46109,7350,2615,17650,16735,
200,47397,7379,2593,17649,16738,
200,48676,7290,2601,17650,16723,
200,49964,7333,2562,17649,16742,
200,51250,7302,2615,17649,16741,
200,52538,7303,2562,17650,16730,
200,53823,7340,2611,17649,16730,
200,55107,7351,2615,17649,16748,
190,27198,13381,3251,17647,16706,
190,28483,7879,3234,17647,16746,
190,29770,6981,3248,17647,16744,
190,31056,6650,3237,17645,16748,
190,32342,6612,3244,17647,16741,
190,33626,6467,3251,17647,16749,
190,34909,6434,3246,17649,16774,
190,36194,6340,3242,17648,16759,
190,37479,6390,3245,17648,16748,
190,38766,6285,3250,17648,16771,
190,40051,6327,3249,17648,16797,
190,42203,6266,3244,17650,16774,
190,43485,6312,3251,17648,16742,
190,44770,6368,3244,17650,16762,
190,46058,6309,3242,17650,16740,
190,47346,6341,3238,17648,16787,
190,48625,6294,3249,17649,16699,
190,49913,6277,3240,17648,16745,
190,51198,6313,3235,17649,16759,
190,52486,6307,3245,17649,16773,
190,53771,6342,3243,17650,16743,
190,55056,6257,3236,17650,16733,
180,27147,13127,3924,17648,16459,
180,28432,6294,3917,17648,16553,
180,29719,5454,3926,17647,16557,
180,31004,5168,3915,17647,16575,
180,32290,5029,3923,17647,16602,
180,33574,4936,3907,17647,16584,
180,34858,4908,3907,17648,16588,
180,36143,4913,3912,17648,16580,
180,37428,4855,3907,17649,16575,
180,38715,4864,3916,17648,16590,
180,39999,4833,3911,17649,16582,
180,42152,4744,3910,17649,16607,
180,43434,4806,3917,17649,16573,
