channel_id,baseline_140,baseline_150,baseline_152,baseline_155,baseline_157,baseline_160,baseline_162,baseline_165,baseline_167,baseline_170,baseline_172,baseline_175,baseline_177,baseline_180,baseline_182,baseline_185,baseline_187,baseline_190,baseline_192,baseline_195,baseline_197,baseline_200,baseline_202,baseline_205,baseline_210,baseline_212,baseline_215,baseline_217,baseline_220,baseline_222,baseline_225,baseline_227,baseline_230,baseline_232,baseline_235,baseline_237,baseline_240,baseline_242,baseline_245,baseline_247,baseline_250,max_reaction_R_140,max_reaction_R_150,max_reaction_R_152,max_reaction_R_155,max_reaction_R_157,max_reaction_R_160,max_reaction_R_162,max_reaction_R_165,max_reaction_R_167,max_reaction_R_170,max_reaction_R_172,max_reaction_R_175,max_reaction_R_177,max_reaction_R_180,max_reaction_R_182,max_reaction_R_185,max_reaction_R_187,max_reaction_R_190,max_reaction_R_192,max_reaction_R_195,max_reaction_R_197,max_reaction_R_200,max_reaction_R_202,max_reaction_R_205,max_reaction_R_210,max_reaction_R_212,max_reaction_R_215,max_reaction_R_217,max_reaction_R_220,max_reaction_R_222,max_reaction_R_225,max_reaction_R_227,max_reaction_R_230,max_reaction_R_232,max_reaction_R_235,max_reaction_R_237,max_reaction_R_240,max_reaction_R_242,max_reaction_R_245,max_reaction_R_247,max_reaction_R_250,responsivity_140,responsivity_150,responsivity_152,responsivity_155,responsivity_157,responsivity_160,responsivity_162,responsivity_165,responsivity_167,responsivity_170,responsivity_172,responsivity_175,responsivity_177,responsivity_180,responsivity_182,responsivity_185,responsivity_187,responsivity_190,responsivity_192,responsivity_195,responsivity_197,responsivity_200,responsivity_202,responsivity_205,responsivity_210,responsivity_212,responsivity_215,responsivity_217,responsivity_220,responsivity_222,responsivity_225,responsivity_227,responsivity_230,responsivity_232,responsivity_235,responsivity_237,responsivity_240,responsivity_242,responsivity_245,responsivity_247,responsivity_250
0,9813.18747612057,9645.46206245606,9801.200273017708,10667.638990343696,11810.233304169264,12862.940343346894,13729.325616465969,14920.159529067272,16340.258019442335,17461.96596484583,18537.46256381589,19410.12300844277,20087.83643222294,20579.891124877107,20827.150747860505,20894.98106452956,20836.383711698647,20704.56757885711,20474.22277477072,20023.383578628484,19545.54740999599,18972.79229804473,18293.326693351846,17721.94959015109,17274.418262639512,16829.451540195336,16221.304180778849,15606.6468520776,15004.900229105784,14393.54207348752,13882.534084206776,13432.70056135899,12935.02525331409,12514.751735715628,12041.5715895379,11662.474432958952,11339.276698748752,10936.08960784281,10664.982145263864,10359.528196147989,10080.68168304524,8603.167323970058,8933.274508434932,9501.936794270405,9878.345031914474,11064.35175074872,11914.56131646497,13161.16785076012,14470.601123253344,15834.175156490235,16792.35899049892,17857.573996047264,18775.041602649217,19426.984842966947,20005.851573371885,20402.17152942367,20537.54035848871,20384.20996234652,19820.07895576175,18915.653773605896,18135.41495902849,17354.483754227687,16615.892744647925,15927.674244308906,15264.750838475677,14681.401449372604,14118.236684593096,13514.098107301572,12956.915087833177,12450.334727882151,11970.974397306993,11505.314107013808,11067.133897140397,10726.301513174674,10344.150364239313,10074.476306636703,9765.254001598154,9555.312791540757,9282.94731785267,9061.176329780912,8924.680708533699,8727.597960947987,0.1406482178696173,0.0797230123566301,0.0314949978332583,0.0799014365138299,0.0674130369517647,0.0795983168571503,0.0431692515549091,0.0310670166349562,0.031961428868283,0.0398756943396558,0.0380728405728079,0.033825832146435,0.0340171979644714,0.0286935824451122,0.0208300973170398,0.017404260675895,0.0221825496395187,0.0446258879729757,0.0823957247166147,0.104103965851638,0.1262534620330924,0.141846098167429,0.1485246629706913,0.1609720838339468,0.1766191614750591,0.1920363651758951,0.2003245834077962,0.2045032900410515,0.2051804675984139,0.202370132603868,0.206619302618064,0.2137469995578373,0.2059166188295687,0.2098385362784638,0.1952553386427979,0.1942827530190514,0.186698640445065,0.1780837737612568,0.1769975284789244,0.160772977148897,0.1550350655646244
1,11071.299276627658,11955.695353378753,14050.930336683952,17267.145138362885,20601.10628123525,24583.19544946541,26983.46107933036,29634.560411960058,31413.192823404683,32471.79773945576,33041.67264812105,33002.08887702936,32643.578134137435,31780.532581799867,30695.341024451955,29707.956312847917,28417.5062353059,27340.423780535573,25964.78383697388,24833.049954508304,23725.080177485,22650.02446733245,21556.99181573721,20631.466483682558,19860.55718036196,18967.33909709959,18068.6348060929,17228.514732816533,16558.47213451343,15797.405279270492,15200.795044185665,14571.62048085632,14078.91796065505,13597.888917322838,13154.29543657772,12733.446726950497,12373.594135793086,12061.610011491795,11720.407412287575,11473.322643778833,11259.481379576006,10754.437217285224,11061.574265806066,12876.313576403978,14585.286786161829,16643.552293498477,17689.195083449624,19497.541002030022,21403.300042732048,23681.42316620517,24732.70601762822,25752.62452370965,26888.592035412246,27806.8457353324,28422.17929705926,28589.24858335545,28607.897749353087,27923.960000635245,26573.08612925473,25192.436373559223,24231.39217960198,23049.080783209967,21875.263233965463,20984.815871499984,20040.93431778735,19267.555483595923,18218.021275026345,17459.513677089148,16664.337156446654,15886.284305760586,15279.23689485521,14695.197621183626,14105.114293455632,13567.50523393111,13097.767506641863,12644.740229173667,12297.442498532617,11941.967635283268,11653.59169486212,11360.76720001837,11136.86471818644,10901.919008257257,0.0294633789700453,0.0808312692287049,0.0912230626654257,0.1838742282904946,0.2377830115799695,0.3897294553818309,0.3839417532970401,0.384579029999774,0.3264909208764619,0.3129092189229721,0.2830409816172559,0.2273639628867754,0.1739403470944316,0.1181595981659324,0.0736672891194023,0.038452967538298,0.0176746505387999,0.0288764973533151,0.0306579106507249,0.0248296825228557,0.0293286921345452,0.0354172301873845,0.0272661884545917,0.0294662991520848,0.0307772149544818,0.0411305822274137,0.0348876343447674,0.0338553865703337,0.0423124637464218,0.0339132371584445,0.0344056225738129,0.0330735489053877,0.0376939398884432,0.0381837141655905,0.0402977995726963,0.035454870268343,0.0361436669141985,0.0350122371980448,0.0316563314728095,0.030211189064994,0.0327981129788184
2,13250.917865071882,14000.780949155316,16696.73186684315,21067.94573898657,26216.702245726206,30906.30723059389,34484.68238670525,37199.19452633672,40262.37126802426,41852.43736715896,42528.47551159478,42290.834419752005,41604.65266814263,40247.388564366505,38991.789371126986,37199.14356020251,35628.17303828711,34592.05556541964,33069.89571919751,31281.497145086803,29924.77956151561,28468.439180444875,27230.90012672924,25882.9163505315,24918.37429641648,23699.58483684677,22564.460399591957,21352.4163657444,20423.392045992958,19354.20275946548,18521.58603869989,17799.643834821334,17146.78722524915,16442.070653812596,15773.667712322076,15326.959973442805,14906.100195079172,14447.413628041038,14135.127536259784,13780.159169063129,13496.367725494203,12766.496606348184,13224.952668895749,14882.0331963203,16876.35882156294,19596.64522791009,21489.591127446434,24011.636574423188,26059.420094480025,28579.930047290123,30792.900285630723,32699.250679913424,34086.20059529207,34991.86869571843,35391.837451641506,35621.92689230201,35753.58705751171,34997.96107235493,33457.68073113781,31791.265472236784,30274.121950859728,28804.71031019817,27296.546229387168,26022.356200394155,24825.312233415443,23688.68521185214,22653.448367518533,21323.81573439785,20447.167626426868,19426.9858909754,18571.947144617967,17802.1568107924,17001.418457056785,16358.271023822605,15777.979976131544,15260.61891996746,14732.722660608268,14305.44758332764,13904.591816604783,13508.766184088016,13257.85067982774,12983.921434659953,0.0379447293694354,0.0586639740559729,0.1219388941405903,0.2483703363825162,0.3378158322929503,0.4381989423298267,0.4361654308660403,0.4274759143322746,0.40876381437616,0.3591586690094626,0.3005948034680585,0.2407025036868773,0.1889805894600116,0.1371940950892842,0.09460079150163,0.0404310901830784,0.0180071051747636,0.0339047659458986,0.0402195454621758,0.0332751250676146,0.0388849337228323,0.0429319131149295,0.0464425249208131,0.0426018455345951,0.0519103983005817,0.0461800098755929,0.0581811754822474,0.0442725738770559,0.0512897966060925,0.0421202800522833,0.0404124756092105,0.0469505164984178,0.0482029060576285,0.0420897148231693,0.0336191339974638,0.0403345210877676,0.0419876839401771,0.0390390324718501,0.0463670289082034,0.0393961662300283,0.0394677596759251
3,15102.438187073078,16004.286060391369,19645.107534226023,25639.23712570013,31823.49320947732,38074.48669837234,42671.67903060388,46122.57760237888,49493.894334933815,51091.80795194913,51688.53774735803,51481.68992217974,50424.212622462415,49376.80343865614,47131.17209708627,45428.813727330606,43121.7752672864,40813.01472676376,38977.66387252663,36909.02795158522,35144.86577420004,33503.70232820978,31775.1685563768,30395.09783850796,28767.077304844403,27358.009134545304,26018.202366205307,24663.548767485423,23482.50599078552,22306.94414262985,21473.566136536923,20604.14692357984,19622.26534344152,18918.34074825589,18207.6765971746,17657.11101400916,17075.08496425742,16579.104850820368,16127.842858399266,15760.846875594394,15408.312832112157,14116.35992418064,14888.05570443217,18037.946335805776,21973.90648274944,24119.44153830501,27847.30856348684,29435.010474136936,32855.81135900245,36197.02646833244,38673.645344007295,41359.96858567178,43561.98950793545,44460.95152040575,44868.607278529176,44689.68784936423,43154.188404438464,40737.97711336799,38605.9440020192,36791.2349933006,34815.40017007807,32777.428890096075,31307.782438732764,29796.40332510464,28146.46592931525,27004.962771216156,25615.03827363277,24310.28040620965,22996.509036800657,21796.75370475733,20759.613550217528,19866.30622343208,19013.763416790283,18288.11417029984,17533.280432515458,16866.947476738642,16374.082689527546,15864.538848875934,15416.686818383752,14980.609418282544,14703.086644967476,14355.127403202703,0.0698535789813161,0.0749748911556595,0.0890989011997442,0.1668037791017338,0.3194125228371147,0.3672591235009077,0.4496913146369468,0.4037875095646162,0.3673469664209674,0.3211014244320804,0.2497238154398489,0.1818030008202817,0.1341235600709034,0.1004755091269404,0.0546319378186657,0.0527092596800684,0.0585153785934102,0.0571691945838477,0.0594279827688351,0.0601351060530537,0.0722276567830277,0.0701397454059318,0.0664095330460563,0.079890381792149,0.0652515076046111,0.0680448275069214,0.070255132045264,0.0724909910463822,0.0773396033584696,0.0745356164106492,0.0809038124666121,0.0836438043288765,0.0729518178155494,0.0789960738420541,0.0794885454101856,0.0783572642699677,0.0763051562300696,0.0753999900322603,0.0765812263095666,0.0719413723232709,0.0733664982084716
4,16524.114583518458,17757.437340375596,21865.425306805097,27946.605526246803,34718.5814313842,42623.76249484336,46876.22136058249,52782.71417529912,54820.41587901699,57301.2762994466,57733.75100172557,57373.044372542114,56509.61936676702,54221.42331822886,53363.42236595015,51698.90548911993,49591.85451418018,46569.16413810362,44326.187766709816,42456.86407649074,39881.4059058268,37788.582108165545,35722.53470018417,34056.809744330654,32367.109269924127,30567.636123138425,28974.80500465093,27362.402670875214,26254.118417844213,24864.046811368386,23889.84568067617,22667.190058895423,21738.268601893717,21006.568411996635,20285.786141100205,19415.741525613208,18742.88411317776,18202.49437453587,17744.457022806542,17347.17674685192,16930.57348889733,5511.459566457721,5978.589709900855,8203.32648390935,11888.750891071824,16483.22894750235,18802.208535753794,21062.65711549748,23297.431484635774,24495.56281246387,24640.55276126607,24044.981424538728,23619.77783932437,22723.5191378448,21550.559432802176,20170.25673277779,19267.56788876543,18332.41355203556,17122.9128814485,16076.950644469864,14806.159898721306,13950.69241464767,13200.774215035492,12289.563831969836,11693.625009001067,10981.394284640202,10436.833464839576,9817.996286773552,9197.924303980346,8685.887279790211,8298.14632083858,7812.769112186976,7441.965397078919,7138.295934763425,6876.432680264928,6581.415432733674,6325.116391018162,6092.408335414848,5965.034760466608,5822.812293774916,5667.037313869182,5572.016090599511,1.998137677373672,1.970171595981634,1.6654339979877264,1.350676347944514,1.106297348775526,1.2669550980562263,1.2255606737334157,1.2656022922573396,1.2379733137269735,1.3254866420659948,1.4010728052718018,1.429025571824905,1.4868339725009094,1.5160100129789789,1.6456491393702302,1.683208684541064,1.705145963100625,1.7196987136784485,1.7571265687723625,1.86751354618002,1.8587402489035536,1.8626034725391247,1.906737390244579,1.9124253358659715,1.947449880312226,1.9288228298474897,1.9511933146363825,1.9748453853913863,2.0226179055916007,1.9963374770735205,2.0577949172222305,2.0458607168198646,2.0453022402767838,2.054864257201936,2.082283187930328,2.0696259681772955,2.076432681674727,2.051531986900274,2.0474032353364517,2.06106626550657,2.0385004661886605
0,12956.915087833177,14602.880984184643,18972.856788616053,25239.85631781703,32788.59134565794,38467.8271278994,43308.53763706941,46542.46922633618,49250.40670791566,50534.64584657186,50827.37718556816,50134.72153104608,48806.72358833009,47195.20689354633,45057.514601849456,42847.69604901069,40873.18356944203,38314.76313915585,36453.77738280715,34168.831676537375,32317.708333688657,30445.709427898717,28649.97859802473,27375.59448855504,25781.002355733108,24701.9380786368,23035.040372254043,21660.249947038687,20546.603435576657,19539.88047489813,18595.814311432463,17807.20363292755,17046.51092814589,16266.0506332597,15717.743492284577,15090.196900347228,14693.22702407276,14180.29712691318,13772.88289805622,13453.883699790777,13226.67829706336,12254.860174533083,13138.879970247037,16935.18184740405,20901.15012245873,24771.23672851109,28173.870621047758,30083.79335281969,33630.70000508515,35678.248545997536,39020.06461260122,42584.16929276272,43636.51135800227,44478.36474461194,44292.58377697282,43137.967351811865,40603.38004054884,38088.04875193796,36267.396395872565,34097.98860804557,31812.74578323492,29845.90897611966,28431.37978273113,26679.14857851888,25334.92613610949,24265.150468813605,22798.1637308312,21352.396732271256,20348.348110581224,19173.260261254443,18455.60601900713,17378.82653061224,16636.632132744373,15894.976159625005,15329.043994908072,14724.812358347148,14189.730302470638,13787.440229137132,13315.254268113518,13007.608133466549,12713.668357071889,12434.292836226765,0.0572878762630875,0.1114250999516577,0.120321999466711,0.2075821746620665,0.3236558071369553,0.3653724632057256,0.4395969660192533,0.3839280544056085,0.3804042719311309,0.2950938535927512,0.1935744674537165,0.148916812339356,0.0973138034316443,0.0655329373239803,0.0444978604203281,0.0552741177266657,0.0731235888623031,0.0564519912302359,0.0690887900116701,0.0740610668867223,0.0828186991907915,0.0708488177696906,0.0738715485505672,0.0805476337875328,0.0624703271000823,0.0835056002879313,0.078803502064932,0.0644721541683901,0.0716280463316654,0.058750411922227,0.0700270400119673,0.0703610857560075,0.0724464608789985,0.0611262280063178,0.0674325152520236,0.0634590354208357,0.0656965165311409,0.0649663041637296,0.0588328581809549,0.0582220112975611,0.0637258162786722
1,15786.60897176594,17804.670693594322,22894.44389312261,30501.557551492177,38956.80557794184,46686.872808597465,51771.8689842757,57337.18786992572,61585.3582441466,63130.16299379134,63652.43746680874,63020.78224757658,61021.23964117108,58612.31153121878,56332.73264986932,53854.15054159469,51173.55086004799,47814.162526955406,45489.700081753406,42512.39200502247,40159.05192951883,37842.796807776846,35980.70228052553,33992.10391001223,32082.893296650986,30476.130274197265,28579.962273495534,27222.16697871311,25558.691067299867,24291.44345083895,23140.558162323097,21927.798737859368,21087.677783370294,20288.83147242843,19415.741525613208,18633.07347363485,18078.886883551604,17437.468535502325,16951.702437195578,16567.63381779652,16141.152660068814,14936.255622940123,16127.842858399266,19566.200341686417,23124.50195417346,27955.602881416995,32488.730198826,37093.27419133075,41312.99495664434,42920.99935899836,46104.8359561792,50066.01540140901,51854.82785590205,53602.52568923565,54887.93696442543,52921.79056664459,50284.189852138894,47776.89474379711,44723.73828302338,42338.17874164949,39677.864557640576,37445.456720948656,35243.27454291391,33320.12320298355,31492.56465836982,29860.50020791359,28173.870621047758,26509.732676459425,25156.98228334543,23626.946779997004,22384.47115360949,21438.395408393502,20333.430025525784,19667.90060121986,18750.811373910958,18084.019436315604,17398.346761436347,16773.40602778112,16295.229307933212,15845.012582495356,15481.785844946062,15176.12924173618,0.0569321636086479,0.1039709928920702,0.1701016801072645,0.3190146802702198,0.3935240725513991,0.437017467992163,0.3957211950940573,0.387872942402212,0.4348537816893882,0.3692742135292277,0.271370149121501,0.215331047336678,0.1384023207217126,0.0678541547154019,0.0644525071185813,0.0709956887036122,0.0710941164021938,0.0691003114358423,0.0744368660573406,0.071438508069509,0.0724679426076293,0.0737593852608,0.0798490168038679,0.0793691869416579,0.0744258493080574,0.0817161292502552,0.0780931902370507,0.0820919088031828,0.0817602166412085,0.0851917511985518,0.0793978617104509,0.0784112031433985,0.0721875308878865,0.082024189132285,0.0736408238216828,0.0709680482363581,0.0778303973330323,0.0700965421218726,0.0698446813430004,0.0701371265385979,0.0635882446018385
2,17674.644503982618,18797.362599948858,26802.834600876067,34586.045246850146,44954.17610243675,54495.68453301035,61138.7346786026,65686.26262132468,70636.9270913253,73107.13705111557,73123.67620839567,72342.02771627788,70033.67992752817,67690.98340836167,64488.89277083879,61191.18678130474,57951.67816218114,54730.56548450813,51730.03728238442,48302.21155729768,45673.08774782333,43553.808180296895,40640.73083744047,38349.26401406056,36428.04124745497,34370.629414229414,32350.651463401755,30608.42289934471,28927.426128957755,27375.601970633023,26038.7811634349,24740.40586206374,23746.97165066906,22564.460399591957,21563.427939951383,20839.46058090252,20126.04908253346,19494.621095290306,18804.64423131877,18342.849056915147,17989.471797579812,17027.498740534385,17774.531288044796,22126.2942525885,27991.826847503755,33337.90817900885,37784.59886390675,40884.68224960472,45161.09709235591,51730.03728238442,56309.39248799232,59965.12457349557,62129.97745008632,62532.71281081528,62424.96415237816,61177.94601889768,58884.4402649632,55845.3743666729,52506.20847876441,49758.68585718861,46461.44680727399,43578.41107994413,40986.31486062253,38857.913082747895,36622.35742711235,34967.42481690453,33024.67045477156,31187.1325442659,29213.293085313635,27556.78716775464,25968.92213393918,24906.716908043,23681.396867929827,22694.67209314459,21614.995631915182,20753.48798198836,19970.846959966555,19275.904188665678,18675.7772034876,18150.875207891637,17694.491880003705,17303.46417536455,0.0380059205000957,0.0575447698354791,0.2113566914957063,0.2355765643761278,0.3484402158963908,0.4422724118176797,0.4953946396194308,0.454487752744229,0.365491517157271,0.2983115928076347,0.2194367430817636,0.164365909747765,0.1199526900329128,0.0843575855827367,0.0541199397396958,0.0391741265767635,0.0377167101016915,0.0423636950789034,0.0396182373235045,0.0396191870145441,0.0480668435578464,0.0626426974077896,0.0458804298341,0.0471544353851383,0.0417707748911586,0.0407561662515663,0.0373076594164083,0.0477566774124635,0.0497387069421124,0.0541678175720445,0.0454521669624923,0.0447190256571419,0.0463676916417021,0.0439262067800216,0.0390266907743874,0.043494080279979,0.0441040215570107,0.0438452377580189,0.0360185950230593,0.0366417516427324,0.0396456810765069
3,19016.498595629644,21244.743839635485,29367.50634196212,39779.33691007769,49886.94870768808,60374.24503601783,69547.03302061677,74550.51016449949,78698.89545322418,81165.48990129489,81398.6024965752,80663.60694335491,78107.88093286817,75558.45030921738,71734.62525492992,68175.02719112673,64194.32263975059,60271.598408458005,56932.48251609325,53428.48670394687,50214.30639520129,46921.81285015997,44477.853685384296,42055.18840481351,39961.253427200616,37626.57552774788,35311.160085674186,33217.45191204345,31176.67104461844,29673.680874391477,28164.731142445307,26790.056677267043,25542.62847658356,24495.56281246387,23529.327055507674,22805.085042411345,21829.42438619147,20944.50414913236,20354.32394953778,19889.4752785104,19531.416025904527,18037.923162881874,18880.344062647127,23811.46610734529,30449.138275789624,36963.65337424531,45771.118136995006,50881.74587555632,57986.75727495129,65531.80813963035,72679.90346788405,74634.61719357196,75284.46893032592,74481.67881393488,70845.02771873822,68084.13840066921,64742.900159853234,60748.3384629534,56707.99561907604,53341.76450308172,50144.6020294073,47021.68093775833,43966.7822619802,41867.95382611096,39297.13396629769,37066.88065075589,35022.34768750002,32872.66121860332,31145.37303509908,29222.88674621277,27829.34432831788,26371.042244058117,25113.73043817563,23978.34703386062,22965.03612291997,22039.993704497112,21178.56197769316,20408.16326530612,19799.891387685944,19239.771558633875,18750.812362121596,18303.72516872843,0.0542510035058507,0.1252307568730215,0.2333346552274209,0.3064191357331971,0.3496217000684021,0.3190467590351411,0.3668366095517035,0.2856471661453517,0.2009266596999486,0.1167528577849648,0.0906279894952795,0.0714508329467962,0.0486858268594081,0.0665314524145848,0.0536172879618144,0.0530116356048218,0.0567255708384302,0.0628412757403684,0.0673153212395907,0.0654882986729805,0.0678968806255349,0.0672105265873665,0.0623364559470225,0.0701846206107856,0.0780851457050164,0.0743590310816697,0.0741801477785701,0.0665292682354214,0.0668580183529909,0.0662730865777847,0.0680173685130456,0.0667493920593818,0.065237250946196,0.0666459517569137,0.0675741277869181,0.0768004487949354,0.0696417949233823,0.0578090424353678,0.0579296062589551,0.0607260578581123,0.067073278573565
4,20462.84960166958,22159.603858737893,29013.789341508174,39939.35632504167,49798.294280400136,60982.1671232361,71215.12526800027,77428.52690044235,82092.4927345354,82948.26062991266,82771.54179711404,80715.19119196528,79049.23774698525,77778.0947319959,77034.21255090633,73511.32334121104,68725.34516765286,65240.783963299895,61440.36287923854,57373.044372542114,53493.6601533896,50888.232760062085,47851.46012184183,44919.92190600149,42703.57199707867,40703.56013178024,37727.81828114245,35157.14809732269,33828.24164816725,31781.07704008305,30410.274585205247,28603.27478897328,27663.58755895265,26497.08113150125,25192.436373559223,24246.38673744056,23399.98294646237,22670.62887728303,21849.049197814493,21476.78104447073,20994.13055342087,6279.785607103772,7296.830364633341,10964.893516446167,16681.699873607125,21333.730319349223,24768.182821681326,29685.054353279396,32153.634116049187,33143.564486026095,33149.239713345785,32449.73565288261,31630.778985394976,29949.556532101597,28260.89249679836,26412.967162055804,24457.59368836292,22923.173480182835,21034.612763747056,19817.197338751444,18218.021275026345,17132.416155295014,15827.687374454788,14804.158529925702,13971.065067563672,13156.016598151764,12239.135107590388,11425.556387983364,10739.68829370107,10121.74389318288,9522.78062991066,9028.45752990454,8592.893731760381,8201.22689760711,7818.284411122807,7508.324316569127,7261.248445693192,7000.6942540754,6814.037259253892,6642.151076815279,6509.357240171744,6379.542882421938,2.258526784500692,2.036880775814965,1.6460621161519349,1.3942018276105983,1.3342516069603718,1.4621171267297872,1.3990229029219523,1.4080801137745924,1.4768757979892904,1.5022673626061458,1.5507616666751245,1.5517927089065453,1.6394126291070754,1.7521457342795266,1.9165300542822663,2.005664591451129,1.9980728988970995,2.101591871267616,2.100355808593341,2.149246754431576,2.122365209232711,2.215140124778653,2.232298548081137,2.215210987048591,2.245934791772604,2.3256892561417164,2.302055234773691,2.2735724851477017,2.3421357036064694,2.337373638563089,2.36826910737285,2.3287127342506397,2.3731035495462414,2.389117066885512,2.3552674753227385,2.339148483732385,2.3425231980157184,2.3270479768062446,2.289453814755819,2.2993704680900384,2.2908518588796807
