1, Validation Loss,1.6084, Validation Accuracy,0.3828
2, Validation Loss,1.6094, Validation Accuracy,0.3203
3, Validation Loss,1.6061, Validation Accuracy,0.3438
4, Validation Loss,1.6006, Validation Accuracy,0.3672
5, Validation Loss,1.5901, Validation Accuracy,0.4688
6, Validation Loss,1.5775, Validation Accuracy,0.4453
7, Validation Loss,1.5661, Validation Accuracy,0.5469
8, Validation Loss,1.5527, Validation Accuracy,0.6328
9, Validation Loss,1.5388, Validation Accuracy,0.6328
10, Validation Loss,1.5274, Validation Accuracy,0.6406
11, Validation Loss,1.5093, Validation Accuracy,0.6484
12, Validation Loss,1.4973, Validation Accuracy,0.6484
13, Validation Loss,1.4825, Validation Accuracy,0.6484
14, Validation Loss,1.4717, Validation Accuracy,0.6484
15, Validation Loss,1.457, Validation Accuracy,0.6562
16, Validation Loss,1.4474, Validation Accuracy,0.6562
17, Validation Loss,1.4334, Validation Accuracy,0.6562
18, Validation Loss,1.4218, Validation Accuracy,0.6562
19, Validation Loss,1.4195, Validation Accuracy,0.6562
20, Validation Loss,1.4151, Validation Accuracy,0.6641
21, Validation Loss,1.4048, Validation Accuracy,0.6875
22, Validation Loss,1.3942, Validation Accuracy,0.6875
23, Validation Loss,1.3874, Validation Accuracy,0.6875
24, Validation Loss,1.3701, Validation Accuracy,0.7188
25, Validation Loss,1.3612, Validation Accuracy,0.7422
26, Validation Loss,1.3498, Validation Accuracy,0.7266
27, Validation Loss,1.3494, Validation Accuracy,0.7422
28, Validation Loss,1.3368, Validation Accuracy,0.75
29, Validation Loss,1.3306, Validation Accuracy,0.75
30, Validation Loss,1.3336, Validation Accuracy,0.75
31, Validation Loss,1.3302, Validation Accuracy,0.75
32, Validation Loss,1.3223, Validation Accuracy,0.7578
33, Validation Loss,1.3232, Validation Accuracy,0.7656
34, Validation Loss,1.3166, Validation Accuracy,0.7656
35, Validation Loss,1.3048, Validation Accuracy,0.7578
36, Validation Loss,1.3048, Validation Accuracy,0.7656
37, Validation Loss,1.2987, Validation Accuracy,0.7578
38, Validation Loss,1.2906, Validation Accuracy,0.7656
39, Validation Loss,1.2853, Validation Accuracy,0.7734
40, Validation Loss,1.2898, Validation Accuracy,0.7578
41, Validation Loss,1.2881, Validation Accuracy,0.7656
42, Validation Loss,1.2796, Validation Accuracy,0.75
43, Validation Loss,1.2708, Validation Accuracy,0.7656
44, Validation Loss,1.2705, Validation Accuracy,0.75
45, Validation Loss,1.2665, Validation Accuracy,0.7734
46, Validation Loss,1.2646, Validation Accuracy,0.75
47, Validation Loss,1.2622, Validation Accuracy,0.7578
48, Validation Loss,1.2627, Validation Accuracy,0.75
49, Validation Loss,1.2547, Validation Accuracy,0.7422
50, Validation Loss,1.2523, Validation Accuracy,0.7578
51, Validation Loss,1.2494, Validation Accuracy,0.7578
52, Validation Loss,1.2429, Validation Accuracy,0.7734
53, Validation Loss,1.2372, Validation Accuracy,0.7812
54, Validation Loss,1.2401, Validation Accuracy,0.7812
55, Validation Loss,1.2324, Validation Accuracy,0.7812
56, Validation Loss,1.236, Validation Accuracy,0.7969
57, Validation Loss,1.2383, Validation Accuracy,0.7578
58, Validation Loss,1.2258, Validation Accuracy,0.7812
59, Validation Loss,1.2225, Validation Accuracy,0.7656
60, Validation Loss,1.2217, Validation Accuracy,0.7734
61, Validation Loss,1.2205, Validation Accuracy,0.7969
62, Validation Loss,1.2178, Validation Accuracy,0.8125
63, Validation Loss,1.2103, Validation Accuracy,0.7812
64, Validation Loss,1.2155, Validation Accuracy,0.7969
65, Validation Loss,1.2206, Validation Accuracy,0.8047
66, Validation Loss,1.2195, Validation Accuracy,0.7812
67, Validation Loss,1.2212, Validation Accuracy,0.7734
68, Validation Loss,1.2189, Validation Accuracy,0.7656
69, Validation Loss,1.2098, Validation Accuracy,0.7812
70, Validation Loss,1.2077, Validation Accuracy,0.7812
71, Validation Loss,1.2148, Validation Accuracy,0.7891
72, Validation Loss,1.2048, Validation Accuracy,0.7891
73, Validation Loss,1.2069, Validation Accuracy,0.7969
74, Validation Loss,1.1996, Validation Accuracy,0.7891
75, Validation Loss,1.1961, Validation Accuracy,0.7891
76, Validation Loss,1.1965, Validation Accuracy,0.7969
77, Validation Loss,1.1941, Validation Accuracy,0.7969
78, Validation Loss,1.1939, Validation Accuracy,0.7969
79, Validation Loss,1.1947, Validation Accuracy,0.7969
80, Validation Loss,1.1916, Validation Accuracy,0.7969
81, Validation Loss,1.1859, Validation Accuracy,0.7891
82, Validation Loss,1.1873, Validation Accuracy,0.8047
83, Validation Loss,1.1864, Validation Accuracy,0.8047
84, Validation Loss,1.1836, Validation Accuracy,0.8047
85, Validation Loss,1.1873, Validation Accuracy,0.7969
86, Validation Loss,1.179, Validation Accuracy,0.7969
87, Validation Loss,1.1743, Validation Accuracy,0.7891
88, Validation Loss,1.178, Validation Accuracy,0.7969
89, Validation Loss,1.1752, Validation Accuracy,0.7969
90, Validation Loss,1.1723, Validation Accuracy,0.7891
91, Validation Loss,1.1796, Validation Accuracy,0.7891
92, Validation Loss,1.1768, Validation Accuracy,0.7969
93, Validation Loss,1.1679, Validation Accuracy,0.7891
94, Validation Loss,1.1727, Validation Accuracy,0.7969
95, Validation Loss,1.1707, Validation Accuracy,0.7891
96, Validation Loss,1.1647, Validation Accuracy,0.7812
97, Validation Loss,1.1641, Validation Accuracy,0.7891
98, Validation Loss,1.1653, Validation Accuracy,0.7891
99, Validation Loss,1.1693, Validation Accuracy,0.7891
100, Validation Loss,1.1592, Validation Accuracy,0.7891
101, Validation Loss,1.1597, Validation Accuracy,0.7891
102, Validation Loss,1.1638, Validation Accuracy,0.7891
103, Validation Loss,1.1564, Validation Accuracy,0.7891
104, Validation Loss,1.1549, Validation Accuracy,0.8125
105, Validation Loss,1.1529, Validation Accuracy,0.8125
106, Validation Loss,1.1493, Validation Accuracy,0.8125
107, Validation Loss,1.1491, Validation Accuracy,0.7891
108, Validation Loss,1.1502, Validation Accuracy,0.7891
109, Validation Loss,1.1509, Validation Accuracy,0.7969
110, Validation Loss,1.1457, Validation Accuracy,0.8047
111, Validation Loss,1.1498, Validation Accuracy,0.7891
112, Validation Loss,1.1469, Validation Accuracy,0.7891
113, Validation Loss,1.1434, Validation Accuracy,0.8125
114, Validation Loss,1.144, Validation Accuracy,0.8125
115, Validation Loss,1.1387, Validation Accuracy,0.8125
116, Validation Loss,1.1378, Validation Accuracy,0.8281
117, Validation Loss,1.1385, Validation Accuracy,0.8203
118, Validation Loss,1.1393, Validation Accuracy,0.8203
119, Validation Loss,1.1356, Validation Accuracy,0.8203
120, Validation Loss,1.1339, Validation Accuracy,0.8203
121, Validation Loss,1.1366, Validation Accuracy,0.8203
122, Validation Loss,1.1346, Validation Accuracy,0.8281
123, Validation Loss,1.1315, Validation Accuracy,0.8281
124, Validation Loss,1.1311, Validation Accuracy,0.8281
125, Validation Loss,1.1309, Validation Accuracy,0.8281
126, Validation Loss,1.1312, Validation Accuracy,0.8203
127, Validation Loss,1.1302, Validation Accuracy,0.8281
128, Validation Loss,1.1281, Validation Accuracy,0.8281
129, Validation Loss,1.1284, Validation Accuracy,0.8281
130, Validation Loss,1.1281, Validation Accuracy,0.8281
131, Validation Loss,1.1253, Validation Accuracy,0.8281
132, Validation Loss,1.1287, Validation Accuracy,0.8359
133, Validation Loss,1.1202, Validation Accuracy,0.8359
134, Validation Loss,1.1203, Validation Accuracy,0.8281
135, Validation Loss,1.1238, Validation Accuracy,0.8359
136, Validation Loss,1.1191, Validation Accuracy,0.8359
137, Validation Loss,1.1186, Validation Accuracy,0.8281
138, Validation Loss,1.1167, Validation Accuracy,0.8359
139, Validation Loss,1.1147, Validation Accuracy,0.8281
140, Validation Loss,1.116, Validation Accuracy,0.8359
141, Validation Loss,1.1153, Validation Accuracy,0.8359
142, Validation Loss,1.1142, Validation Accuracy,0.8359
143, Validation Loss,1.1123, Validation Accuracy,0.8281
144, Validation Loss,1.1102, Validation Accuracy,0.8281
