experiment_id,channel_id,baseline_140,baseline_150,baseline_152,baseline_155,baseline_157,baseline_160,baseline_162,baseline_165,baseline_167,baseline_170,baseline_172,baseline_175,baseline_177,baseline_180,baseline_182,baseline_185,baseline_187,baseline_190,baseline_192,baseline_195,baseline_197,baseline_200,baseline_202,baseline_205,baseline_210,baseline_212,baseline_215,baseline_217,baseline_220,baseline_222,baseline_225,baseline_227,baseline_230,baseline_232,baseline_235,baseline_237,baseline_240,baseline_242,baseline_245,baseline_247,baseline_250,max_reaction_R_140,max_reaction_R_150,max_reaction_R_152,max_reaction_R_155,max_reaction_R_157,max_reaction_R_160,max_reaction_R_162,max_reaction_R_165,max_reaction_R_167,max_reaction_R_170,max_reaction_R_172,max_reaction_R_175,max_reaction_R_177,max_reaction_R_180,max_reaction_R_182,max_reaction_R_185,max_reaction_R_187,max_reaction_R_190,max_reaction_R_192,max_reaction_R_195,max_reaction_R_197,max_reaction_R_200,max_reaction_R_202,max_reaction_R_205,max_reaction_R_210,max_reaction_R_212,max_reaction_R_215,max_reaction_R_217,max_reaction_R_220,max_reaction_R_222,max_reaction_R_225,max_reaction_R_227,max_reaction_R_230,max_reaction_R_232,max_reaction_R_235,max_reaction_R_237,max_reaction_R_240,max_reaction_R_242,max_reaction_R_245,max_reaction_R_247,max_reaction_R_250,responsivity_140,responsivity_150,responsivity_152,responsivity_155,responsivity_157,responsivity_160,responsivity_162,responsivity_165,responsivity_167,responsivity_170,responsivity_172,responsivity_175,responsivity_177,responsivity_180,responsivity_182,responsivity_185,responsivity_187,responsivity_190,responsivity_192,responsivity_195,responsivity_197,responsivity_200,responsivity_202,responsivity_205,responsivity_210,responsivity_212,responsivity_215,responsivity_217,responsivity_220,responsivity_222,responsivity_225,responsivity_227,responsivity_230,responsivity_232,responsivity_235,responsivity_237,responsivity_240,responsivity_242,responsivity_245,responsivity_247,responsivity_250
20240726121620s1c0r0,0,9813.18747612057,9645.46206245606,9801.200273017708,10667.638990343696,11810.233304169265,12862.940343346894,13729.325616465969,14920.159529067272,16340.258019442335,17461.96596484583,18537.46256381589,19410.123008442766,20087.83643222294,20579.891124877107,20827.150747860505,20894.981064529562,20836.383711698647,20704.56757885711,20474.222774770722,20023.383578628484,19545.54740999599,18972.792298044726,18293.326693351846,17721.94959015109,17274.418262639512,16829.451540195336,16221.304180778847,15606.6468520776,15004.900229105784,14393.542073487519,13882.534084206776,13432.70056135899,12935.02525331409,12514.751735715628,12041.5715895379,11662.474432958952,11339.276698748752,10936.08960784281,10664.982145263864,10359.528196147989,10080.68168304524,8603.167323970058,8933.274508434932,9501.936794270403,9878.345031914474,11064.35175074872,11914.56131646497,13161.167850760121,14470.601123253344,15834.175156490237,16792.35899049892,17857.573996047264,18775.041602649217,19426.984842966947,20005.851573371885,20402.17152942367,20537.54035848871,20384.209962346522,19820.07895576175,18915.653773605896,18135.414959028494,17354.483754227687,16615.892744647925,15927.674244308906,15264.750838475675,14681.401449372604,14118.236684593096,13514.098107301572,12956.915087833177,12450.334727882153,11970.974397306993,11505.314107013808,11067.133897140395,10726.301513174674,10344.150364239313,10074.476306636705,9765.254001598154,9555.312791540755,9282.94731785267,9061.176329780912,8924.680708533699,8727.597960947987,0.14064821786961734,0.07972301235663015,0.031494997833258376,0.07990143651382997,0.0674130369517647,0.07959831685715035,0.04316925155490914,0.031067016634956257,0.031961428868283015,0.039875694339655876,0.03807284057280791,0.033825832146435086,0.034017197964471446,0.02869358244511222,0.020830097317039886,0.017404260675895067,0.02218254963951871,0.04462588797297573,0.08239572471661472,0.10410396585163806,0.1262534620330924,0.141846098167429,0.14852466297069133,0.1609720838339468,0.17661916147505918,0.19203636517589517,0.20032458340779624,0.2045032900410515,0.2051804675984139,0.20237013260386805,0.20661930261806405,0.21374699955783738,0.2059166188295687,0.20983853627846383,0.19525533864279798,0.1942827530190514,0.186698640445065,0.17808377376125684,0.17699752847892447,0.16077297714889704,0.15503506556462443
20240726121655s1c1r0,1,11071.299276627658,11955.695353378751,14050.930336683952,17267.145138362885,20601.106281235254,24583.195449465406,26983.46107933036,29634.560411960058,31413.192823404683,32471.79773945576,33041.67264812105,33002.08887702936,32643.578134137435,31780.532581799867,30695.341024451955,29707.956312847913,28417.5062353059,27340.423780535573,25964.78383697388,24833.049954508304,23725.080177484997,22650.02446733245,21556.99181573721,20631.466483682554,19860.55718036196,18967.33909709959,18068.6348060929,17228.514732816533,16558.47213451343,15797.405279270492,15200.795044185663,14571.62048085632,14078.91796065505,13597.888917322838,13154.295436577719,12733.446726950497,12373.594135793086,12061.610011491797,11720.407412287575,11473.322643778833,11259.481379576006,10754.437217285224,11061.574265806066,12876.313576403978,14585.286786161829,16643.552293498477,17689.195083449624,19497.541002030022,21403.300042732048,23681.423166205175,24732.70601762822,25752.624523709652,26888.592035412246,27806.8457353324,28422.17929705926,28589.248583355446,28607.897749353087,27923.960000635245,26573.086129254734,25192.436373559223,24231.39217960198,23049.080783209967,21875.263233965466,20984.815871499984,20040.93431778735,19267.555483595923,18218.021275026345,17459.513677089148,16664.337156446654,15886.284305760586,15279.23689485521,14695.197621183626,14105.114293455632,13567.50523393111,13097.767506641865,12644.740229173667,12297.442498532615,11941.967635283268,11653.59169486212,11360.76720001837,11136.86471818644,10901.919008257257,0.029463378970045362,0.08083126922870498,0.09122306266542579,0.1838742282904946,0.2377830115799695,0.3897294553818309,0.38394175329704017,0.384579029999774,0.3264909208764619,0.3129092189229721,0.2830409816172559,0.2273639628867754,0.17394034709443162,0.11815959816593247,0.07366728911940235,0.03845296753829808,0.017674650538799908,0.0288764973533151,0.030657910650724984,0.024829682522855778,0.029328692134545253,0.03541723018738452,0.027266188454591722,0.029466299152084874,0.030777214954481824,0.041130582227413726,0.03488763434476749,0.03385538657033371,0.042312463746421836,0.03391323715844452,0.034405622573812966,0.03307354890538772,0.03769393988844327,0.03818371416559052,0.0402977995726963,0.03545487026834304,0.03614366691419857,0.035012237198044804,0.03165633147280955,0.030211189064994093,0.032798112978818406
20240726121731s1c2r0,2,13250.917865071882,14000.780949155316,16696.73186684315,21067.94573898657,26216.702245726206,30906.30723059389,34484.68238670525,37199.19452633672,40262.37126802426,41852.43736715896,42528.47551159478,42290.834419752005,41604.65266814263,40247.388564366505,38991.789371126986,37199.14356020251,35628.17303828711,34592.055565419636,33069.89571919751,31281.497145086803,29924.77956151561,28468.439180444875,27230.900126729237,25882.9163505315,24918.37429641648,23699.584836846774,22564.460399591953,21352.4163657444,20423.392045992954,19354.20275946548,18521.58603869989,17799.643834821334,17146.78722524915,16442.070653812596,15773.667712322076,15326.959973442805,14906.100195079172,14447.413628041038,14135.127536259784,13780.159169063129,13496.367725494205,12766.496606348184,13224.952668895747,14882.033196320299,16876.35882156294,19596.64522791009,21489.591127446434,24011.636574423188,26059.420094480025,28579.930047290123,30792.900285630723,32699.250679913424,34086.20059529207,34991.86869571843,35391.837451641506,35621.92689230201,35753.58705751171,34997.96107235493,33457.68073113781,31791.265472236784,30274.121950859728,28804.71031019817,27296.546229387168,26022.356200394155,24825.312233415443,23688.68521185214,22653.448367518533,21323.815734397846,20447.167626426868,19426.985890975397,18571.947144617967,17802.1568107924,17001.418457056785,16358.271023822603,15777.979976131543,15260.618919967459,14732.722660608268,14305.44758332764,13904.591816604783,13508.766184088016,13257.850679827741,12983.921434659951,0.03794472936943549,0.0586639740559729,0.12193889414059034,0.24837033638251627,0.3378158322929503,0.4381989423298267,0.4361654308660403,0.4274759143322746,0.40876381437616005,0.3591586690094626,0.30059480346805856,0.2407025036868773,0.18898058946001162,0.13719409508928426,0.09460079150163003,0.040431090183078444,0.01800710517476367,0.03390476594589864,0.040219545462175876,0.03327512506761465,0.038884933722832304,0.0429319131149295,0.04644252492081313,0.04260184553459512,0.05191039830058175,0.0461800098755929,0.05818117548224744,0.044272573877055965,0.051289796606092564,0.0421202800522833,0.040412475609210574,0.04695051649841786,0.04820290605762856,0.042089714823169366,0.03361913399746386,0.040334521087767694,0.041987683940177156,0.039039032471850144,0.046367028908203434,0.039396166230028395,0.039467759675925196
20240726121807s1c3r0,3,15102.438187073078,16004.286060391369,19645.107534226023,25639.237125700132,31823.49320947732,38074.48669837234,42671.679030603875,46122.57760237888,49493.894334933815,51091.80795194913,51688.53774735803,51481.68992217974,50424.212622462415,49376.80343865614,47131.17209708627,45428.813727330606,43121.7752672864,40813.01472676376,38977.66387252663,36909.02795158522,35144.865774200036,33503.70232820978,31775.1685563768,30395.09783850796,28767.077304844403,27358.009134545304,26018.202366205307,24663.548767485423,23482.505990785517,22306.944142629854,21473.566136536923,20604.14692357984,19622.26534344152,18918.34074825589,18207.6765971746,17657.11101400916,17075.08496425742,16579.104850820368,16127.842858399266,15760.846875594394,15408.312832112155,14116.359924180639,14888.05570443217,18037.946335805776,21973.906482749437,24119.441538305015,27847.30856348684,29435.010474136936,32855.81135900245,36197.026468332435,38673.645344007295,41359.968585671784,43561.98950793545,44460.951520405746,44868.607278529176,44689.68784936423,43154.188404438464,40737.97711336799,38605.9440020192,36791.2349933006,34815.40017007807,32777.428890096075,31307.782438732764,29796.40332510464,28146.46592931525,27004.962771216153,25615.03827363277,24310.280406209655,22996.509036800657,21796.75370475733,20759.613550217528,19866.306223432082,19013.763416790283,18288.114170299836,17533.280432515458,16866.947476738642,16374.082689527546,15864.538848875934,15416.686818383752,14980.609418282545,14703.086644967476,14355.127403202703,0.06985357898131617,0.07497489115565958,0.08909890119974428,0.16680377910173383,0.31941252283711474,0.3672591235009077,0.4496913146369468,0.4037875095646162,0.3673469664209674,0.32110142443208045,0.2497238154398489,0.18180300082028178,0.13412356007090342,0.10047550912694048,0.05463193781866571,0.052709259680068454,0.05851537859341027,0.05716919458384773,0.0594279827688351,0.06013510605305372,0.07222765678302778,0.07013974540593182,0.06640953304605635,0.07989038179214902,0.06525150760461118,0.06804482750692142,0.07025513204526401,0.07249099104638224,0.07733960335846968,0.07453561641064921,0.08090381246661216,0.08364380432887653,0.07295181781554949,0.0789960738420541,0.07948854541018568,0.0783572642699677,0.07630515623006962,0.07539999003226039,0.07658122630956665,0.07194137232327091,0.07336649820847163
20240726121842s1c4r0,4,16524.114583518458,17757.437340375596,21865.425306805097,27946.605526246803,34718.5814313842,42623.76249484336,46876.22136058249,52782.71417529912,54820.41587901699,57301.2762994466,57733.75100172557,57373.044372542114,56509.61936676702,54221.42331822886,53363.42236595015,51698.90548911993,49591.85451418018,46569.164138103624,44326.187766709816,42456.86407649074,39881.4059058268,37788.582108165545,35722.53470018417,34056.809744330654,32367.109269924127,30567.636123138425,28974.805004650934,27362.402670875214,26254.118417844213,24864.046811368382,23889.84568067617,22667.190058895423,21738.268601893713,21006.568411996635,20285.786141100205,19415.741525613208,18742.88411317776,18202.49437453587,17744.457022806542,17347.17674685192,16930.57348889733,5511.459566457721,5978.589709900855,8203.32648390935,11888.750891071824,16483.22894750235,18802.208535753794,21062.65711549748,23297.431484635774,24495.56281246387,24640.55276126607,24044.981424538728,23619.777839324375,22723.5191378448,21550.559432802176,20170.25673277779,19267.56788876543,18332.41355203556,17122.9128814485,16076.950644469864,14806.159898721306,13950.69241464767,13200.774215035493,12289.563831969837,11693.625009001067,10981.394284640202,10436.833464839576,9817.996286773552,9197.924303980346,8685.887279790211,8298.14632083858,7812.769112186976,7441.965397078919,7138.295934763425,6876.432680264928,6581.415432733674,6325.116391018162,6092.408335414848,5965.034760466608,5822.812293774916,5667.037313869182,5572.016090599511,1.998137677373672,1.970171595981634,1.6654339979877264,1.350676347944514,1.1062973487755259,1.2669550980562265,1.2255606737334155,1.2656022922573396,1.2379733137269735,1.3254866420659948,1.4010728052718018,1.429025571824905,1.4868339725009094,1.5160100129789789,1.6456491393702302,1.6832086845410639,1.705145963100625,1.7196987136784485,1.7571265687723625,1.86751354618002,1.8587402489035538,1.8626034725391252,1.906737390244579,1.9124253358659713,1.947449880312226,1.9288228298474897,1.9511933146363822,1.9748453853913865,2.0226179055916007,1.9963374770735203,2.0577949172222305,2.0458607168198646,2.0453022402767833,2.0548642572019356,2.0822831879303276,2.0696259681772955,2.076432681674727,2.051531986900274,2.0474032353364513,2.06106626550657,2.0385004661886605
20240726121918s1c0r1,0,12956.915087833177,14602.880984184643,18972.856788616053,25239.85631781703,32788.59134565794,38467.8271278994,43308.537637069414,46542.46922633618,49250.40670791566,50534.64584657186,50827.37718556816,50134.721531046074,48806.72358833009,47195.20689354633,45057.514601849456,42847.69604901069,40873.18356944203,38314.76313915585,36453.77738280715,34168.831676537375,32317.708333688657,30445.709427898713,28649.978598024732,27375.594488555038,25781.002355733108,24701.938078636802,23035.040372254043,21660.249947038687,20546.603435576657,19539.88047489813,18595.814311432463,17807.20363292755,17046.51092814589,16266.050633259701,15717.743492284577,15090.196900347228,14693.22702407276,14180.297126913181,13772.882898056221,13453.883699790775,13226.678297063361,12254.860174533085,13138.879970247035,16935.18184740405,20901.15012245873,24771.23672851109,28173.870621047754,30083.793352819695,33630.70000508515,35678.248545997536,39020.06461260122,42584.169292762715,43636.51135800227,44478.36474461194,44292.583776972824,43137.967351811865,40603.38004054884,38088.04875193796,36267.396395872565,34097.98860804557,31812.74578323492,29845.90897611966,28431.37978273113,26679.148578518878,25334.926136109494,24265.150468813605,22798.1637308312,21352.396732271256,20348.348110581224,19173.260261254443,18455.60601900713,17378.82653061224,16636.632132744373,15894.976159625003,15329.043994908072,14724.812358347148,14189.730302470638,13787.440229137133,13315.254268113518,13007.608133466547,12713.668357071889,12434.292836226763,0.05728787626308751,0.11142509995165772,0.12032199946671107,0.20758217466206652,0.3236558071369553,0.3653724632057256,0.43959696601925335,0.3839280544056085,0.3804042719311309,0.2950938535927512,0.19357446745371654,0.14891681233935605,0.09731380343164431,0.06553293732398036,0.044497860420328106,0.055274117726665795,0.07312358886230319,0.05645199123023592,0.06908879001167012,0.07406106688672232,0.08281869919079154,0.07084881776969065,0.07387154855056721,0.08054763378753282,0.06247032710008238,0.0835056002879313,0.07880350206493203,0.06447215416839014,0.07162804633166542,0.058750411922227075,0.07002704001196736,0.07036108575600752,0.07244646087899853,0.06112622800631784,0.06743251525202365,0.06345903542083575,0.06569651653114095,0.06496630416372962,0.05883285818095496,0.058222011297561105,0.06372581627867224
20240726121953s1c1r1,1,15786.60897176594,17804.670693594322,22894.44389312261,30501.557551492177,38956.805577941836,46686.872808597465,51771.8689842757,57337.18786992572,61585.3582441466,63130.16299379134,63652.43746680874,63020.78224757658,61021.23964117108,58612.31153121878,56332.732649869315,53854.15054159469,51173.55086004799,47814.162526955406,45489.700081753406,42512.39200502247,40159.05192951883,37842.796807776846,35980.70228052553,33992.10391001223,32082.893296650982,30476.130274197265,28579.962273495534,27222.16697871311,25558.691067299867,24291.44345083895,23140.558162323097,21927.798737859368,21087.677783370298,20288.83147242843,19415.741525613208,18633.073473634846,18078.886883551604,17437.468535502325,16951.702437195578,16567.63381779652,16141.152660068814,14936.255622940123,16127.842858399266,19566.200341686417,23124.50195417346,27955.602881416995,32488.730198826,37093.27419133075,41312.99495664434,42920.99935899836,46104.8359561792,50066.01540140901,51854.82785590205,53602.52568923565,54887.93696442543,52921.79056664459,50284.189852138894,47776.89474379711,44723.738283023384,42338.17874164949,39677.864557640576,37445.456720948656,35243.27454291391,33320.12320298355,31492.56465836982,29860.50020791359,28173.870621047754,26509.732676459425,25156.98228334543,23626.946779997004,22384.47115360949,21438.395408393502,20333.430025525784,19667.90060121986,18750.811373910954,18084.019436315604,17398.346761436347,16773.40602778112,16295.229307933212,15845.012582495357,15481.785844946062,15176.12924173618,0.056932163608647945,0.10397099289207024,0.17010168010726456,0.31901468027021984,0.3935240725513991,0.437017467992163,0.39572119509405734,0.38787294240221204,0.43485378168938826,0.36927421352922774,0.27137014912150104,0.21533104733667807,0.13840232072171266,0.0678541547154019,0.0644525071185813,0.07099568870361228,0.07109411640219387,0.06910031143584239,0.07443686605734068,0.07143850806950902,0.07246794260762934,0.07375938526080006,0.07984901680386791,0.07936918694165795,0.0744258493080574,0.08171612925025529,0.07809319023705075,0.08209190880318284,0.08176021664120858,0.08519175119855182,0.07939786171045093,0.07841120314339856,0.07218753088788654,0.08202418913228504,0.0736408238216828,0.07096804823635816,0.07783039733303232,0.07009654212187266,0.06984468134300048,0.07013712653859794,0.06358824460183854
20240726122029s1c2r1,2,17674.644503982618,18797.362599948858,26802.834600876067,34586.045246850146,44954.17610243675,54495.68453301035,61138.7346786026,65686.26262132468,70636.9270913253,73107.13705111557,73123.67620839567,72342.02771627788,70033.67992752817,67690.98340836167,64488.892770838786,61191.18678130474,57951.67816218114,54730.56548450813,51730.03728238442,48302.211557297676,45673.08774782333,43553.808180296895,40640.73083744047,38349.26401406056,36428.04124745497,34370.629414229414,32350.651463401755,30608.42289934471,28927.426128957755,27375.601970633026,26038.7811634349,24740.40586206374,23746.97165066906,22564.460399591953,21563.427939951383,20839.460580902516,20126.04908253346,19494.621095290306,18804.64423131877,18342.849056915147,17989.471797579812,17027.498740534385,17774.531288044796,22126.2942525885,27991.826847503755,33337.90817900885,37784.59886390675,40884.682249604724,45161.09709235591,51730.03728238442,56309.39248799232,59965.12457349557,62129.97745008632,62532.712810815276,62424.964152378154,61177.94601889768,58884.4402649632,55845.3743666729,52506.20847876441,49758.68585718861,46461.44680727399,43578.41107994413,40986.31486062253,38857.913082747895,36622.35742711235,34967.42481690453,33024.670454771556,31187.1325442659,29213.293085313635,27556.78716775464,25968.92213393918,24906.716908043,23681.396867929827,22694.67209314459,21614.995631915182,20753.487981988357,19970.846959966555,19275.904188665674,18675.7772034876,18150.875207891633,17694.491880003705,17303.46417536455,0.03800592050009577,0.05754476983547918,0.21135669149570635,0.23557656437612784,0.34844021589639085,0.44227241181767973,0.49539463961943087,0.45448775274422903,0.365491517157271,0.29831159280763475,0.21943674308176364,0.164365909747765,0.11995269003291287,0.08435758558273676,0.054119939739695866,0.03917412657676356,0.03771671010169153,0.042363695078903474,0.03961823732350456,0.039619187014544144,0.048066843557846406,0.0626426974077896,0.04588042983410001,0.047154435385138305,0.04177077489115866,0.040756166251566306,0.037307659416408345,0.04775667741246359,0.049738706942112465,0.054167817572044585,0.045452166962492324,0.04471902565714192,0.04636769164170218,0.04392620678002168,0.039026690774387474,0.04349408027997903,0.044104021557010764,0.04384523775801896,0.036018595023059374,0.03664175164273242,0.0396456810765069
20240726122104s1c3r1,3,19016.498595629644,21244.743839635485,29367.506341962122,39779.33691007769,49886.94870768808,60374.24503601783,69547.03302061677,74550.51016449949,78698.89545322418,81165.48990129489,81398.6024965752,80663.60694335491,78107.88093286817,75558.45030921738,71734.62525492992,68175.02719112673,64194.32263975059,60271.598408458005,56932.48251609325,53428.48670394687,50214.30639520129,46921.81285015997,44477.853685384296,42055.18840481351,39961.253427200616,37626.57552774788,35311.160085674186,33217.45191204345,31176.67104461844,29673.680874391473,28164.731142445307,26790.056677267043,25542.62847658356,24495.56281246387,23529.327055507674,22805.085042411345,21829.42438619147,20944.504149132357,20354.32394953778,19889.475278510396,19531.416025904527,18037.923162881874,18880.344062647127,23811.46610734529,30449.138275789624,36963.65337424531,45771.118136995006,50881.74587555632,57986.75727495129,65531.80813963035,72679.90346788405,74634.61719357196,75284.46893032592,74481.67881393488,70845.02771873822,68084.13840066921,64742.900159853234,60748.3384629534,56707.99561907604,53341.764503081715,50144.6020294073,47021.68093775833,43966.782261980195,41867.953826110956,39297.13396629769,37066.88065075589,35022.34768750002,32872.661218603316,31145.37303509908,29222.88674621277,27829.34432831788,26371.042244058113,25113.73043817563,23978.34703386062,22965.036122919966,22039.993704497112,21178.561977693156,20408.163265306117,19799.891387685944,19239.771558633875,18750.812362121593,18303.72516872843,0.05425100350585077,0.12523075687302154,0.23333465522742092,0.3064191357331971,0.3496217000684021,0.3190467590351411,0.3668366095517035,0.2856471661453517,0.2009266596999486,0.1167528577849648,0.0906279894952795,0.07145083294679622,0.04868582685940814,0.0665314524145848,0.05361728796181442,0.053011635604821805,0.05672557083843022,0.06284127574036846,0.06731532123959072,0.06548829867298056,0.0678968806255349,0.06721052658736659,0.06233645594702253,0.07018462061078568,0.07808514570501646,0.07435903108166975,0.07418014777857018,0.06652926823542149,0.06685801835299099,0.06627308657778475,0.06801736851304563,0.0667493920593818,0.06523725094619603,0.06664595175691379,0.06757412778691818,0.07680044879493542,0.0696417949233823,0.057809042435367886,0.05792960625895516,0.06072605785811236,0.06707327857356504
20240726122140s1c4r1,4,20462.84960166958,22159.603858737893,29013.789341508178,39939.35632504167,49798.294280400136,60982.167123236104,71215.12526800027,77428.52690044235,82092.4927345354,82948.26062991266,82771.54179711404,80715.19119196528,79049.23774698525,77778.0947319959,77034.21255090633,73511.32334121104,68725.34516765286,65240.783963299895,61440.36287923854,57373.044372542114,53493.660153389596,50888.232760062085,47851.46012184183,44919.92190600149,42703.57199707867,40703.56013178024,37727.81828114245,35157.14809732269,33828.24164816725,31781.07704008305,30410.274585205247,28603.27478897328,27663.58755895265,26497.08113150125,25192.436373559223,24246.38673744056,23399.98294646237,22670.62887728303,21849.049197814493,21476.78104447073,20994.13055342087,6279.785607103772,7296.830364633341,10964.893516446167,16681.699873607125,21333.730319349226,24768.182821681326,29685.054353279393,32153.634116049187,33143.564486026095,33149.239713345785,32449.735652882606,31630.778985394976,29949.556532101593,28260.892496798362,26412.967162055804,24457.59368836292,22923.173480182835,21034.612763747056,19817.197338751444,18218.021275026345,17132.416155295014,15827.687374454788,14804.158529925702,13971.065067563672,13156.016598151764,12239.135107590388,11425.556387983363,10739.68829370107,10121.74389318288,9522.780629910661,9028.45752990454,8592.893731760381,8201.22689760711,7818.284411122807,7508.324316569127,7261.248445693192,7000.6942540754,6814.037259253892,6642.151076815279,6509.357240171744,6379.542882421938,2.2585267845006918,2.036880775814965,1.6460621161519349,1.3942018276105985,1.3342516069603718,1.4621171267297872,1.3990229029219523,1.4080801137745924,1.4768757979892904,1.5022673626061458,1.5507616666751245,1.5517927089065453,1.6394126291070754,1.7521457342795266,1.9165300542822665,2.005664591451129,1.9980728988970995,2.1015918712676154,2.100355808593341,2.1492467544315756,2.122365209232711,2.2151401247786535,2.2322985480811375,2.215210987048591,2.245934791772604,2.3256892561417164,2.302055234773691,2.2735724851477017,2.3421357036064694,2.3373736385630894,2.36826910737285,2.3287127342506393,2.3731035495462414,2.389117066885512,2.3552674753227385,2.3391484837323855,2.3425231980157184,2.3270479768062446,2.289453814755819,2.2993704680900384,2.2908518588796807
